Year,Category,Percentage: Positive,Percentage: Negative,Percentage: Neutral,Count: Positive,Count: Negative,Count: Neutral,Total
2000,Sports,39.01497957330912,31.536541080344982,29.44847934634589,3438,2779,2595,8812
2000,Opinion,41.11964329947981,38.24622244240773,20.63413425811246,3320,3088,1666,8074
2000,U.S.,45.53933495539335,38.280616382806166,16.180048661800488,3369,2832,1197,7398
2000,New York,35.752344416027285,35.12361466325661,29.12404092071611,6710,6592,5466,18768
2000,Business Day,52.811802124923865,23.448602558029368,23.73959531704676,7804,3465,3508,14777
2000,Technology,30.352480417754567,16.024804177545693,53.62271540469974,930,491,1643,3064
2000,Arts,39.91699679305791,12.997547632522167,47.085455574419925,2116,689,2496,5301
2000,Books,29.98859749144812,20.980615735461804,49.03078677309008,789,552,1290,2631
2000,World,38.33709556057186,53.78103837471784,7.881866064710308,2038,2859,419,5316
2000,Travel,36.454336147352265,14.19800460475825,49.34765924788949,475,185,643,1303
2000,Health,34.44444444444444,49.81481481481482,15.74074074074074,186,269,85,540
2000,Science,42.129629629629626,31.828703703703702,26.041666666666668,364,275,225,864
2000,Food,35.483870967741936,12.609970674486803,51.90615835777126,363,129,531,1023
2001,New York,33.70165745856354,41.456554495228524,24.841788046207935,6710,8254,4946,19910
2001,Business Day,45.98985423489373,30.116226802799716,23.893918962306557,7162,4690,3721,15573
2001,Sports,38.08763121862163,34.459151072569604,27.453217708808765,3338,3020,2406,8764
2001,World,31.45534041224235,57.41411617738913,11.130543410368519,2518,4596,891,8005
2001,U.S.,38.00362976406533,47.70719903206292,14.289171203871748,3141,3943,1181,8265
2001,Arts,38.670039754246474,14.474159739790387,46.85580050596314,2140,801,2593,5534
2001,Opinion,35.658029905261955,41.61625385229997,22.725716242438075,3124,3646,1991,8761
2001,Books,30.7831107903284,21.291952363767592,47.92493684590401,853,590,1328,2771
2001,Technology,28.553921568627448,16.87091503267974,54.57516339869281,699,413,1336,2448
2001,Health,35.714285714285715,40.74074074074074,23.544973544973544,270,308,178,756
2001,Science,37.33766233766234,33.22510822510822,29.43722943722944,345,307,272,924
2001,Food,35.46218487394958,12.352941176470589,52.18487394957984,422,147,621,1190
2001,Travel,40.161104718066746,15.362485615650174,44.47640966628308,698,267,773,1738
2002,Sports,43.7037037037037,35.795206971677565,20.50108932461874,4012,3286,1882,9180
2002,Business Day,47.56620428751576,30.365699873896595,22.06809583858764,7544,4816,3500,15860
2002,World,28.68653421633554,62.75938189845475,8.554083885209714,2599,5686,775,9060
2002,Opinion,35.849497546155646,44.81187193269455,19.338630521149803,3068,3835,1655,8558
2002,U.S.,33.56744974570114,53.03947687091305,13.39307338338581,2772,4380,1106,8258
2002,Health,40.8955223880597,43.28358208955223,15.82089552238806,274,290,106,670
2002,New York,32.65886979921341,42.75512316290623,24.586007037880357,6311,8262,4751,19324
2002,Arts,35.208333333333336,14.299242424242426,50.492424242424235,1859,755,2666,5280
2002,Books,35.465529495380245,22.81449893390192,41.71997157071784,998,642,1174,2814
2002,Science,35.991379310344826,37.5,26.50862068965517,334,348,246,928
2002,Food,33.359683794466406,10.118577075098814,56.52173913043478,422,128,715,1265
2002,Technology,42.409470752089135,23.18941504178273,34.401114206128135,609,333,494,1436
2002,Travel,32.700650759219094,13.06941431670282,54.229934924078094,603,241,1000,1844
2003,New York,32.42165242165242,42.37244237244237,25.205905205905204,6259,8180,4866,19305
2003,Sports,41.14739020464474,35.008047827086685,23.844561968268568,3579,3045,2074,8698
2003,Opinion,35.937323864276856,45.14710855596889,18.915567579754256,3188,4005,1678,8871
2003,Food,33.417935702199664,11.759729272419628,54.82233502538071,395,139,648,1182
2003,Books,34.754568255105696,23.324973127911143,41.92045861698316,970,651,1170,2791
2003,U.S.,33.80207648836904,54.10697857799974,12.090944933631226,2572,4117,920,7609
2003,Arts,39.8610843141038,13.582867065406134,46.55604862049007,2066,704,2413,5183
2003,Business Day,48.1957424714434,27.28452751817238,24.519730010384215,7426,4204,3778,15408
2003,World,30.955437373922614,60.00366770584999,9.040894920227398,3376,6544,986,10906
2003,Technology,48.38455476753349,21.434200157604412,30.181245074862094,614,272,383,1269
2003,Health,37.66891891891892,51.858108108108105,10.472972972972974,223,307,62,592
2003,Science,44.52871072589382,31.31094257854821,24.160346695557962,411,289,223,923
2003,Travel,35.16835916622127,13.361838588989844,51.46980224478889,658,250,963,1871
2004,Business Day,49.04539987973542,26.616055321707755,24.338544798556825,6525,3541,3238,13304
2004,U.S.,38.20321779505453,48.16974408811143,13.627038116834036,3538,4461,1262,9261
2004,Opinion,37.708923858860324,40.9148665819568,21.376209559182875,3858,4186,2187,10231
2004,Sports,39.33993399339934,33.38613861386139,27.27392739273927,2980,2529,2066,7575
2004,World,29.35441370223979,59.94729907773386,10.698287220026351,2228,4550,812,7590
2004,New York,34.91339015672257,39.70305196590596,25.38355787737146,6349,7220,4616,18185
2004,Technology,43.5634328358209,15.578358208955223,40.85820895522388,467,167,438,1072
